RANK,PATH,SCORE,PATH_LENGTH,EFFICIENCY,COMPLEXITY,COMPOSITE_SCORE
1,"left,left,left,left,left,right,right",185,7,26.43,0.1429,0.5774
2,"left,left,left,left,left,middle,right",185,7,26.43,0.2857,0.5611
3,"left,left,left,middle,left,right,right",185,7,26.43,0.4286,0.5448
4,"left,left,left,right,left,right,right",185,7,26.43,0.4286,0.5448
5,"left,left,middle,left,left,right,right",185,7,26.43,0.4286,0.5448
6,"left,left,middle,middle,left,right,right",185,7,26.43,0.4286,0.5448
7,"left,middle,left,left,left,right,right",185,7,26.43,0.4286,0.5448
8,"left,middle,middle,left,left,right,right",185,7,26.43,0.4286,0.5448
9,"left,middle,middle,middle,left,right,right",185,7,26.43,0.4286,0.5448
10,"left,left,left,left,left,right,right,right",185,8,23.12,0.125,0.5446
